,,,,,,,
,,,,,,,
,,,,,,,
CVE_ENT,Entidad federativa,Gran sector y tamaño del establecimiento,Población inicial1,Nacimientos2,Muertes2,Población actual2,
,,,,,,,
,,,,,,,
,,,,,,,
00,Estados Unidos Mexicanos,Total,4 857 007, 619 443,1 010 857,4 465 593,
00,Estados Unidos Mexicanos,Micro,4 690 539, 614 766, 975 619,4 329 687,
00,Estados Unidos Mexicanos,PyME´s, 166 468, 4 677, 35 239, 135 906,
00,Estados Unidos Mexicanos,Manufacturas, 627 059, 55 067, 94 085, 588 041,
00,Estados Unidos Mexicanos,Micro, 600 023, 54 349, 89 910, 564 462,
00,Estados Unidos Mexicanos,PyME´s, 27 036,  718, 4 175, 23 580,
00,Estados Unidos Mexicanos,Comercio,2 311 463, 317 842, 438 643,2 190 661,
00,Estados Unidos Mexicanos,Micro,2 254 669, 316 513, 427 642,2 143 540,
00,Estados Unidos Mexicanos,PyME´s, 56 794, 1 329, 11 002, 47 121,
00,Estados Unidos Mexicanos,Servicios Privados no Financieros,1 918 485, 246 534, 478 129,1 686 890,
00,Estados Unidos Mexicanos,Micro,1 835 847, 243 905, 458 067,1 621 685,
00,Estados Unidos Mexicanos,PyME´s, 82 638, 2 629, 20 062, 65 205,
01,Aguascalientes,Total, 59 586, 8 470, 13 090, 54 965,
01,Aguascalientes,Micro, 57 361, 8 396, 12 704, 53 054,
01,Aguascalientes,PyME´s, 2 224,  74,  387, 1 912,
01,Aguascalientes,Manufacturas, 5 219,  624,  836, 5 007,
01,Aguascalientes,Micro, 4 878,  614,  822, 4 670,
01,Aguascalientes,PyME´s,  341,  10,  14,  337,
01,Aguascalientes,Comercio, 27 807, 3 993, 5 478, 26 321,
01,Aguascalientes,Micro, 27 046, 3 976, 5 264, 25 759,
01,Aguascalientes,PyME´s,  760,  16,  214,  562,
01,Aguascalientes,Servicios Privados no Financieros, 26 560, 3 854, 6 777, 23 637,
01,Aguascalientes,Micro, 25 437, 3 805, 6 618, 22 624,
01,Aguascalientes,PyME´s, 1 123,  48,  159, 1 012,
02,Baja California,Total, 99 518, 10 434, 21 493, 88 459,
02,Baja California,Micro, 93 659, 10 197, 20 549, 83 307,
02,Baja California,PyME´s, 5 859,  237,  944, 5 152,
02,Baja California,Manufacturas, 7 518,  710, 1 305, 6 922,
02,Baja California,Micro, 6 706,  668, 1 168, 6 207,
02,Baja California,PyME´s,  811,  42,  138,  716,
02,Baja California,Comercio, 46 459, 4 896, 9 491, 41 865,
02,Baja California,Micro, 44 400, 4 816, 9 148, 40 068,
02,Baja California,PyME´s, 2 059,  80,  343, 1 796,
02,Baja California,Servicios Privados no Financieros, 45 541, 4 827, 10 697, 39 672,
02,Baja California,Micro, 42 552, 4 713, 10 234, 37 032,
02,Baja California,PyME´s, 2 989,  114,  463, 2 640,
03,Baja California Sur,Total, 32 299, 3 082, 9 090, 26 291,
03,Baja California Sur,Micro, 30 282, 3 031, 8 603, 24 710,
03,Baja California Sur,PyME´s, 2 017,  51,  487, 1 581,
03,Baja California Sur,Manufacturas, 2 686,  251,  560, 2 376,
03,Baja California Sur,Micro, 2 577,  251,  536, 2 291,
